name,datetime,conditions,description,icon
CT,2020/3/24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain
CT,2020/3/25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
CT,2020/3/26,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/3/28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
CT,2020/3/29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
CT,2020/3/30,Overcast,Cloudy skies throughout the day.,cloudy
CT,2020/3/31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
CT,2020/4/2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
CT,2020/4/3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
CT,2020/4/4,Overcast,Cloudy skies throughout the day.,cloudy
CT,2020/4/5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/6,Clear,Clear conditions throughout the day.,clear-day
CT,2020/4/7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
CT,2020/4/9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
CT,2020/4/10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/12,Clear,Clear conditions throughout the day.,clear-day
CT,2020/4/13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
CT,2020/4/14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
CT,2020/4/15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
CT,2020/4/18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain
CT,2020/4/19,Clear,Clear conditions throughout the day.,clear-day
CT,2020/4/20,Clear,Clear conditions throughout the day.,clear-day
CT,2020/4/21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
CT,2020/4/22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/23,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
CT,2020/4/24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
CT,2020/4/25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/4/26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
CT,2020/4/27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
CT,2020/4/28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
CT,2020/4/29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/4/30,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
CT,2020/5/1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
CT,2020/5/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/5/3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/5/4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/5/5,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
CT,2020/5/7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
CT,2020/5/8,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
CT,2020/5/9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
CT,2020/5/10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/5/11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
CT,2020/5/12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/5/13,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/14,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
